zone,food_category,day_of_week,hour,month,is_weekend,is_evening,is_morning,zone_ngos_active,listings_in_zone,avg_distance_km,demand_kg,urgency_score,claimed_within_2hrs
South Delhi,Cooked Meals,5,14,4,1,0,0,3,2,11.2,27.7,0.94,1
North Delhi,Cooked Meals,0,12,4,0,0,0,2,4,13.3,17.2,0.8,0
Gurgaon,Bakery,3,14,1,0,0,0,4,7,7.1,5.0,0.4,0
East Delhi,Bakery,6,16,2,1,0,0,3,6,15.5,19.7,0.8,1
Central Delhi,Cooked Meals,5,20,9,1,1,0,8,2,10.6,28.6,0.98,1
Noida,Dairy,1,8,1,0,0,1,6,2,15.6,6.5,0.44,0
South Delhi,Packaged Goods,2,20,11,0,1,0,4,6,7.4,12.9,0.41,0
Central Delhi,Rice & Grains,5,8,10,1,0,1,10,4,4.2,14.9,0.84,1
Gurgaon,Fruits & Vegetables,5,13,11,1,0,0,2,4,15.1,5.0,0.68,1
Noida,Packaged Goods,2,8,4,0,0,1,11,6,5.0,5.0,0.26,0
Dwarka,Packaged Goods,5,20,3,1,1,0,5,5,13.8,17.3,0.6,1
Gurgaon,Dairy,3,17,4,0,1,0,4,8,3.0,9.7,0.32,0
North Delhi,Cooked Meals,1,11,11,0,0,1,3,7,7.8,12.7,0.66,0
Dwarka,Dairy,2,6,11,0,0,0,12,5,14.2,5.0,0.55,0
Noida,Cooked Meals,2,19,3,0,1,0,6,3,9.9,10.0,0.52,0
South Delhi,Rice & Grains,2,22,10,0,0,0,7,3,10.4,13.2,0.91,1
North Delhi,Dairy,2,21,1,0,1,0,7,5,5.5,14.5,0.48,1
West Delhi,Dairy,0,8,12,0,0,1,3,3,3.6,14.7,0.42,0
Dwarka,Dairy,1,14,9,0,0,0,8,4,16.8,9.8,0.32,0
West Delhi,Rice & Grains,2,18,11,0,1,0,9,8,3.5,7.4,0.59,0
West Delhi,Cooked Meals,2,6,10,0,0,0,11,4,1.6,15.7,0.62,0
North Delhi,Bakery,0,7,6,0,0,1,5,5,12.5,9.4,0.51,1
West Delhi,Dairy,1,21,4,0,1,0,8,4,3.1,5.1,0.47,0
Gurgaon,Fruits & Vegetables,3,19,8,0,1,0,2,2,2.5,6.5,0.56,0
Noida,Cooked Meals,1,12,4,0,0,0,4,7,4.5,11.7,0.37,0
Dwarka,Bakery,6,8,8,1,0,1,10,2,2.3,12.6,0.63,0
